Reg4: Reg4, Lifetables (period 1x10), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03793	0.03675	0.15	100000	3675	96890	6635867	66.36
1941-1949	1	0.00368	0.00367	0.5	96325	354	96148	6538977	67.88
1941-1949	2	0.00210	0.00210	0.5	95971	201	95871	6442829	67.13
1941-1949	3	0.00156	0.00156	0.5	95770	149	95695	6346958	66.27
1941-1949	4	0.00125	0.00125	0.5	95621	120	95561	6251263	65.38
1941-1949	5	0.00109	0.00109	0.5	95501	104	95449	6155702	64.46
1941-1949	6	0.00099	0.00099	0.5	95397	95	95350	6060253	63.53
1941-1949	7	0.00092	0.00092	0.5	95303	87	95259	5964903	62.59
1941-1949	8	0.00085	0.00085	0.5	95215	81	95175	5869644	61.65
1941-1949	9	0.00080	0.00080	0.5	95134	76	95096	5774469	60.70
1941-1949	10	0.00077	0.00077	0.5	95058	73	95021	5679373	59.75
1941-1949	11	0.00079	0.00078	0.5	94985	75	94947	5584352	58.79
1941-1949	12	0.00084	0.00084	0.5	94910	80	94870	5489404	57.84
1941-1949	13	0.00094	0.00094	0.5	94830	89	94786	5394534	56.89
1941-1949	14	0.00108	0.00108	0.5	94741	102	94690	5299749	55.94
1941-1949	15	0.00125	0.00124	0.5	94639	118	94580	5205059	55.00
1941-1949	16	0.00141	0.00141	0.5	94521	133	94454	5110479	54.07
1941-1949	17	0.00157	0.00157	0.5	94388	148	94314	5016024	53.14
1941-1949	18	0.00173	0.00173	0.5	94240	163	94158	4921711	52.23
1941-1949	19	0.00189	0.00189	0.5	94076	178	93987	4827553	51.32
1941-1949	20	0.00205	0.00204	0.5	93898	192	93802	4733565	50.41
1941-1949	21	0.00216	0.00216	0.5	93707	202	93606	4639763	49.51
1941-1949	22	0.00222	0.00221	0.5	93505	207	93401	4546157	48.62
1941-1949	23	0.00223	0.00223	0.5	93297	208	93194	4452756	47.73
1941-1949	24	0.00220	0.00220	0.5	93090	205	92987	4359563	46.83
1941-1949	25	0.00215	0.00215	0.5	92885	200	92785	4266575	45.93
1941-1949	26	0.00211	0.00211	0.5	92685	196	92587	4173790	45.03
1941-1949	27	0.00210	0.00210	0.5	92490	194	92392	4081203	44.13
1941-1949	28	0.00213	0.00213	0.5	92295	196	92197	3988810	43.22
1941-1949	29	0.00219	0.00218	0.5	92099	201	91999	3896613	42.31
1941-1949	30	0.00227	0.00227	0.5	91898	208	91794	3804615	41.40
1941-1949	31	0.00237	0.00236	0.5	91690	217	91581	3712821	40.49
1941-1949	32	0.00249	0.00249	0.5	91473	228	91359	3621239	39.59
1941-1949	33	0.00264	0.00264	0.5	91246	241	91125	3529880	38.69
1941-1949	34	0.00283	0.00282	0.5	91005	257	90876	3438755	37.79
1941-1949	35	0.00305	0.00305	0.5	90748	277	90609	3347879	36.89
1941-1949	36	0.00329	0.00329	0.5	90471	297	90322	3257270	36.00
1941-1949	37	0.00354	0.00353	0.5	90174	319	90014	3166948	35.12
1941-1949	38	0.00382	0.00382	0.5	89855	343	89683	3076933	34.24
1941-1949	39	0.00412	0.00412	0.5	89512	368	89328	2987250	33.37
1941-1949	40	0.00442	0.00441	0.5	89144	393	88947	2897922	32.51
1941-1949	41	0.00472	0.00471	0.5	88750	418	88541	2808975	31.65
1941-1949	42	0.00510	0.00509	0.5	88332	450	88108	2720434	30.80
1941-1949	43	0.00555	0.00554	0.5	87883	487	87639	2632326	29.95
1941-1949	44	0.00600	0.00598	0.5	87396	523	87135	2544687	29.12
1941-1949	45	0.00652	0.00650	0.5	86873	565	86591	2457552	28.29
1941-1949	46	0.00704	0.00702	0.5	86309	606	86006	2370961	27.47
1941-1949	47	0.00757	0.00754	0.5	85703	646	85380	2284955	26.66
1941-1949	48	0.00815	0.00812	0.5	85057	690	84712	2199575	25.86
1941-1949	49	0.00883	0.00879	0.5	84367	742	83996	2114863	25.07
1941-1949	50	0.00960	0.00956	0.5	83625	799	83225	2030867	24.29
1941-1949	51	0.01027	0.01022	0.5	82826	847	82403	1947642	23.51
1941-1949	52	0.01099	0.01093	0.5	81979	896	81531	1865239	22.75
1941-1949	53	0.01183	0.01176	0.5	81084	953	80607	1783708	22.00
1941-1949	54	0.01272	0.01264	0.5	80130	1013	79624	1703101	21.25
1941-1949	55	0.01372	0.01363	0.5	79117	1078	78578	1623478	20.52
1941-1949	56	0.01473	0.01462	0.5	78039	1141	77468	1544900	19.80
1941-1949	57	0.01583	0.01570	0.5	76898	1208	76294	1467432	19.08
1941-1949	58	0.01707	0.01692	0.5	75690	1281	75050	1391138	18.38
1941-1949	59	0.01839	0.01822	0.5	74409	1356	73731	1316088	17.69
1941-1949	60	0.01984	0.01964	0.5	73053	1435	72336	1242357	17.01
1941-1949	61	0.02126	0.02104	0.5	71618	1507	70865	1170021	16.34
1941-1949	62	0.02289	0.02263	0.5	70112	1586	69318	1099156	15.68
1941-1949	63	0.02482	0.02452	0.5	68525	1680	67685	1029838	15.03
1941-1949	64	0.02685	0.02649	0.5	66845	1771	65960	962153	14.39
1941-1949	65	0.02928	0.02886	0.5	65074	1878	64135	896193	13.77
1941-1949	66	0.03184	0.03134	0.5	63196	1980	62206	832057	13.17
1941-1949	67	0.03451	0.03392	0.5	61216	2077	60177	769852	12.58
1941-1949	68	0.03763	0.03693	0.5	59139	2184	58047	709674	12.00
1941-1949	69	0.04093	0.04011	0.5	56955	2284	55813	651627	11.44
1941-1949	70	0.04462	0.04364	0.5	54670	2386	53477	595814	10.90
1941-1949	71	0.04823	0.04709	0.5	52284	2462	51053	542337	10.37
1941-1949	72	0.05238	0.05104	0.5	49822	2543	48551	491284	9.86
1941-1949	73	0.05748	0.05588	0.5	47279	2642	45958	442733	9.36
1941-1949	74	0.06288	0.06097	0.5	44638	2721	43277	396774	8.89
1941-1949	75	0.06912	0.06681	0.5	41916	2801	40516	353497	8.43
1941-1949	76	0.07543	0.07269	0.5	39116	2843	37694	312982	8.00
1941-1949	77	0.08168	0.07847	0.5	36272	2846	34849	275288	7.59
1941-1949	78	0.08914	0.08534	0.5	33426	2853	32000	240438	7.19
1941-1949	79	0.09720	0.09270	0.5	30573	2834	29156	208439	6.82
1941-1949	80	0.09982	0.09508	0.5	27739	2637	26421	179282	6.46
1941-1949	81	0.10925	0.10359	0.5	25102	2600	23802	152862	6.09
1941-1949	82	0.11954	0.11280	0.5	22502	2538	21233	129060	5.74
1941-1949	83	0.13070	0.12269	0.5	19963	2449	18739	107827	5.40
1941-1949	84	0.14255	0.13306	0.5	17514	2331	16349	89089	5.09
1941-1949	85	0.15502	0.14387	0.5	15184	2184	14091	72740	4.79
1941-1949	86	0.16893	0.15578	0.5	12999	2025	11987	58648	4.51
1941-1949	87	0.18471	0.16910	0.5	10974	1856	10046	46661	4.25
1941-1949	88	0.20204	0.18350	0.5	9119	1673	8282	36615	4.02
1941-1949	89	0.21955	0.19783	0.5	7445	1473	6709	28333	3.81
1941-1949	90	0.23487	0.21019	0.5	5972	1255	5345	21624	3.62
1941-1949	91	0.24827	0.22085	0.5	4717	1042	4196	16280	3.45
1941-1949	92	0.25982	0.22995	0.5	3675	845	3253	12084	3.29
1941-1949	93	0.26907	0.23716	0.5	2830	671	2495	8831	3.12
1941-1949	94	0.27871	0.24462	0.5	2159	528	1895	6336	2.93
1941-1949	95	0.32364	0.27856	0.5	1631	454	1404	4441	2.72
1941-1949	96	0.34528	0.29445	0.5	1177	346	1003	3038	2.58
1941-1949	97	0.36760	0.31053	0.5	830	258	701	2034	2.45
1941-1949	98	0.39053	0.32673	0.5	572	187	479	1333	2.33
1941-1949	99	0.41399	0.34299	0.5	385	132	319	854	2.22
1941-1949	100	0.43786	0.35922	0.5	253	91	208	535	2.11
1941-1949	101	0.46206	0.37534	0.5	162	61	132	327	2.02
1941-1949	102	0.48646	0.39128	0.5	101	40	82	196	1.93
1941-1949	103	0.51095	0.40697	0.5	62	25	49	114	1.85
1941-1949	104	0.53541	0.42234	0.5	37	15	29	65	1.78
1941-1949	105	0.55972	0.43733	0.5	21	9	17	36	1.71
1941-1949	106	0.58378	0.45188	0.5	12	5	9	20	1.65
1941-1949	107	0.60746	0.46594	0.5	7	3	5	10	1.59
1941-1949	108	0.63067	0.47948	0.5	3	2	3	5	1.54
1941-1949	109	0.65332	0.49245	0.5	2	1	1	3	1.51
1941-1949	110+	0.67530	1.00000	1.48	1	1	1	1	1.48
1950-1959	0	0.02723	0.02660	0.12	100000	2660	97670	6994560	69.95
1950-1959	1	0.00198	0.00198	0.5	97340	192	97244	6896890	70.85
1950-1959	2	0.00124	0.00124	0.5	97148	121	97087	6799646	69.99
1950-1959	3	0.00092	0.00092	0.5	97027	90	96982	6702558	69.08
1950-1959	4	0.00072	0.00072	0.5	96937	69	96903	6605576	68.14
1950-1959	5	0.00062	0.00062	0.5	96868	60	96838	6508674	67.19
1950-1959	6	0.00057	0.00057	0.5	96808	55	96780	6411836	66.23
1950-1959	7	0.00052	0.00052	0.5	96752	50	96727	6315056	65.27
1950-1959	8	0.00047	0.00047	0.5	96702	46	96679	6218329	64.30
1950-1959	9	0.00044	0.00044	0.5	96657	43	96635	6121649	63.33
1950-1959	10	0.00043	0.00043	0.5	96614	41	96593	6025014	62.36
1950-1959	11	0.00043	0.00043	0.5	96573	42	96552	5928421	61.39
1950-1959	12	0.00047	0.00047	0.5	96531	46	96508	5831869	60.41
1950-1959	13	0.00054	0.00054	0.5	96485	53	96459	5735361	59.44
1950-1959	14	0.00065	0.00065	0.5	96433	63	96401	5638903	58.48
1950-1959	15	0.00080	0.00080	0.5	96369	77	96331	5542502	57.51
1950-1959	16	0.00094	0.00094	0.5	96292	90	96247	5446171	56.56
1950-1959	17	0.00108	0.00108	0.5	96202	104	96150	5349924	55.61
1950-1959	18	0.00119	0.00119	0.5	96098	115	96040	5253774	54.67
1950-1959	19	0.00127	0.00127	0.5	95983	122	95922	5157734	53.74
1950-1959	20	0.00133	0.00133	0.5	95861	128	95797	5061812	52.80
1950-1959	21	0.00139	0.00139	0.5	95733	133	95667	4966015	51.87
1950-1959	22	0.00140	0.00140	0.5	95600	133	95533	4870348	50.94
1950-1959	23	0.00142	0.00142	0.5	95467	135	95399	4774815	50.02
1950-1959	24	0.00142	0.00142	0.5	95331	135	95264	4679416	49.09
1950-1959	25	0.00141	0.00141	0.5	95196	135	95129	4584152	48.15
1950-1959	26	0.00141	0.00141	0.5	95062	134	94995	4489023	47.22
1950-1959	27	0.00142	0.00142	0.5	94928	135	94860	4394028	46.29
1950-1959	28	0.00144	0.00144	0.5	94793	137	94725	4299167	45.35
1950-1959	29	0.00148	0.00147	0.5	94656	140	94587	4204443	44.42
1950-1959	30	0.00152	0.00152	0.5	94517	144	94445	4109856	43.48
1950-1959	31	0.00159	0.00159	0.5	94373	150	94298	4015411	42.55
1950-1959	32	0.00168	0.00168	0.5	94223	158	94144	3921114	41.62
1950-1959	33	0.00177	0.00177	0.5	94065	166	93982	3826970	40.68
1950-1959	34	0.00186	0.00186	0.5	93899	175	93811	3732988	39.76
1950-1959	35	0.00200	0.00200	0.5	93724	188	93630	3639177	38.83
1950-1959	36	0.00216	0.00216	0.5	93536	202	93435	3545547	37.91
1950-1959	37	0.00235	0.00234	0.5	93334	219	93225	3452112	36.99
1950-1959	38	0.00256	0.00256	0.5	93115	238	92996	3358887	36.07
1950-1959	39	0.00281	0.00281	0.5	92877	261	92747	3265891	35.16
1950-1959	40	0.00309	0.00309	0.5	92616	286	92473	3173144	34.26
1950-1959	41	0.00340	0.00339	0.5	92330	313	92174	3080671	33.37
1950-1959	42	0.00373	0.00372	0.5	92017	342	91846	2988497	32.48
1950-1959	43	0.00405	0.00405	0.5	91675	371	91489	2896651	31.60
1950-1959	44	0.00448	0.00447	0.5	91304	408	91100	2805162	30.72
1950-1959	45	0.00494	0.00493	0.5	90896	448	90672	2714062	29.86
1950-1959	46	0.00542	0.00541	0.5	90448	489	90203	2623390	29.00
1950-1959	47	0.00599	0.00597	0.5	89958	537	89690	2533187	28.16
1950-1959	48	0.00656	0.00654	0.5	89421	585	89129	2443497	27.33
1950-1959	49	0.00718	0.00715	0.5	88836	635	88518	2354369	26.50
1950-1959	50	0.00772	0.00769	0.5	88201	679	87861	2265851	25.69
1950-1959	51	0.00840	0.00836	0.5	87522	732	87156	2177989	24.89
1950-1959	52	0.00919	0.00915	0.5	86790	794	86393	2090833	24.09
1950-1959	53	0.00993	0.00988	0.5	85996	850	85571	2004440	23.31
1950-1959	54	0.01074	0.01068	0.5	85146	910	84692	1918868	22.54
1950-1959	55	0.01154	0.01147	0.5	84237	967	83754	1834177	21.77
1950-1959	56	0.01244	0.01236	0.5	83270	1029	82756	1750423	21.02
1950-1959	57	0.01337	0.01328	0.5	82241	1092	81695	1667668	20.28
1950-1959	58	0.01451	0.01440	0.5	81149	1169	80565	1585973	19.54
1950-1959	59	0.01573	0.01561	0.5	79980	1248	79356	1505408	18.82
1950-1959	60	0.01682	0.01668	0.5	78732	1313	78075	1426052	18.11
1950-1959	61	0.01811	0.01794	0.5	77418	1389	76724	1347977	17.41
1950-1959	62	0.01977	0.01958	0.5	76029	1488	75285	1271253	16.72
1950-1959	63	0.02149	0.02127	0.5	74541	1585	73748	1195968	16.04
1950-1959	64	0.02340	0.02313	0.5	72956	1688	72112	1122219	15.38
1950-1959	65	0.02556	0.02524	0.5	71268	1799	70369	1050107	14.73
1950-1959	66	0.02773	0.02735	0.5	69469	1900	68519	979739	14.10
1950-1959	67	0.03027	0.02982	0.5	67569	2015	66562	911219	13.49
1950-1959	68	0.03278	0.03225	0.5	65555	2114	64498	844657	12.88
1950-1959	69	0.03564	0.03501	0.5	63441	2221	62330	780159	12.30
1950-1959	70	0.03849	0.03776	0.5	61220	2312	60064	717829	11.73
1950-1959	71	0.04177	0.04092	0.5	58908	2410	57703	657765	11.17
1950-1959	72	0.04571	0.04469	0.5	56498	2525	55235	600062	10.62
1950-1959	73	0.04959	0.04839	0.5	53973	2612	52667	544827	10.09
1950-1959	74	0.05444	0.05300	0.5	51361	2722	50000	492160	9.58
1950-1959	75	0.05954	0.05782	0.5	48639	2812	47233	442160	9.09
1950-1959	76	0.06481	0.06278	0.5	45827	2877	44388	394927	8.62
1950-1959	77	0.07066	0.06825	0.5	42950	2931	41484	350538	8.16
1950-1959	78	0.07740	0.07452	0.5	40019	2982	38528	309054	7.72
1950-1959	79	0.08508	0.08161	0.5	37037	3023	35525	270527	7.30
1950-1959	80	0.08857	0.08482	0.5	34014	2885	32572	235001	6.91
1950-1959	81	0.09680	0.09234	0.5	31129	2874	29692	202430	6.50
1950-1959	82	0.10668	0.10128	0.5	28255	2862	26824	172738	6.11
1950-1959	83	0.11762	0.11109	0.5	25393	2821	23983	145914	5.75
1950-1959	84	0.12872	0.12094	0.5	22572	2730	21207	121931	5.40
1950-1959	85	0.14085	0.13158	0.5	19843	2611	18537	100724	5.08
1950-1959	86	0.15414	0.14311	0.5	17232	2466	15999	82187	4.77
1950-1959	87	0.16834	0.15527	0.5	14766	2293	13619	66188	4.48
1950-1959	88	0.18444	0.16887	0.5	12473	2106	11420	52569	4.21
1950-1959	89	0.20097	0.18262	0.5	10367	1893	9420	41149	3.97
1950-1959	90	0.21622	0.19512	0.5	8473	1653	7647	31729	3.74
1950-1959	91	0.23130	0.20733	0.5	6820	1414	6113	24082	3.53
1950-1959	92	0.24922	0.22161	0.5	5406	1198	4807	17969	3.32
1950-1959	93	0.26986	0.23777	0.5	4208	1001	3708	13162	3.13
1950-1959	94	0.29134	0.25430	0.5	3208	816	2800	9454	2.95
1950-1959	95	0.31302	0.27066	0.5	2392	647	2068	6655	2.78
1950-1959	96	0.33557	0.28736	0.5	1744	501	1494	4587	2.63
1950-1959	97	0.35893	0.30431	0.5	1243	378	1054	3093	2.49
1950-1959	98	0.38300	0.32144	0.5	865	278	726	2039	2.36
1950-1959	99	0.40768	0.33865	0.5	587	199	487	1313	2.24
1950-1959	100	0.43287	0.35585	0.5	388	138	319	825	2.13
1950-1959	101	0.45843	0.37295	0.5	250	93	203	506	2.02
1950-1959	102	0.48424	0.38985	0.5	157	61	126	303	1.93
1950-1959	103	0.51016	0.40647	0.5	96	39	76	177	1.85
1950-1959	104	0.53604	0.42274	0.5	57	24	45	100	1.77
1950-1959	105	0.56175	0.43857	0.5	33	14	26	56	1.70
1950-1959	106	0.58715	0.45390	0.5	18	8	14	30	1.63
1950-1959	107	0.61211	0.46867	0.5	10	5	8	16	1.58
1950-1959	108	0.63651	0.48284	0.5	5	3	4	8	1.53
1950-1959	109	0.66023	0.49637	0.5	3	1	2	4	1.49
1950-1959	110+	0.68320	1.00000	1.46	1	1	2	2	1.46
1960-1969	0	0.02260	0.02215	0.11	100000	2215	98031	7106101	71.06
1960-1969	1	0.00153	0.00153	0.5	97785	150	97710	7008070	71.67
1960-1969	2	0.00098	0.00098	0.5	97635	96	97587	6910360	70.78
1960-1969	3	0.00075	0.00075	0.5	97539	73	97503	6812773	69.85
1960-1969	4	0.00062	0.00062	0.5	97466	61	97436	6715270	68.90
1960-1969	5	0.00053	0.00053	0.5	97405	52	97380	6617834	67.94
1960-1969	6	0.00046	0.00046	0.5	97354	45	97331	6520455	66.98
1960-1969	7	0.00042	0.00042	0.5	97308	41	97288	6423124	66.01
1960-1969	8	0.00038	0.00038	0.5	97268	37	97249	6325836	65.04
1960-1969	9	0.00034	0.00034	0.5	97230	33	97214	6228587	64.06
1960-1969	10	0.00033	0.00033	0.5	97197	32	97181	6131373	63.08
1960-1969	11	0.00035	0.00035	0.5	97165	34	97148	6034192	62.10
1960-1969	12	0.00037	0.00037	0.5	97131	36	97113	5937044	61.12
1960-1969	13	0.00043	0.00043	0.5	97095	42	97074	5839931	60.15
1960-1969	14	0.00051	0.00051	0.5	97053	49	97028	5742857	59.17
1960-1969	15	0.00065	0.00065	0.5	97004	63	96972	5645829	58.20
1960-1969	16	0.00087	0.00087	0.5	96941	85	96898	5548857	57.24
1960-1969	17	0.00104	0.00104	0.5	96856	100	96806	5451958	56.29
1960-1969	18	0.00123	0.00123	0.5	96756	119	96696	5355152	55.35
1960-1969	19	0.00131	0.00131	0.5	96637	127	96573	5258456	54.41
1960-1969	20	0.00134	0.00134	0.5	96510	129	96445	5161883	53.49
1960-1969	21	0.00142	0.00142	0.5	96381	136	96313	5065438	52.56
1960-1969	22	0.00140	0.00140	0.5	96244	134	96177	4969125	51.63
1960-1969	23	0.00139	0.00139	0.5	96110	133	96043	4872948	50.70
1960-1969	24	0.00130	0.00130	0.5	95977	125	95914	4776904	49.77
1960-1969	25	0.00135	0.00135	0.5	95852	130	95787	4680990	48.84
1960-1969	26	0.00132	0.00132	0.5	95722	126	95659	4585203	47.90
1960-1969	27	0.00134	0.00133	0.5	95596	128	95532	4489543	46.96
1960-1969	28	0.00138	0.00138	0.5	95469	131	95403	4394011	46.03
1960-1969	29	0.00141	0.00141	0.5	95337	134	95270	4298608	45.09
1960-1969	30	0.00144	0.00144	0.5	95203	137	95134	4203338	44.15
1960-1969	31	0.00150	0.00150	0.5	95066	143	94994	4108204	43.21
1960-1969	32	0.00161	0.00161	0.5	94923	153	94846	4013210	42.28
1960-1969	33	0.00173	0.00173	0.5	94770	164	94688	3918364	41.35
1960-1969	34	0.00178	0.00178	0.5	94606	168	94522	3823676	40.42
1960-1969	35	0.00191	0.00190	0.5	94438	180	94348	3729154	39.49
1960-1969	36	0.00206	0.00206	0.5	94258	194	94161	3634806	38.56
1960-1969	37	0.00221	0.00221	0.5	94064	208	93960	3540645	37.64
1960-1969	38	0.00243	0.00243	0.5	93856	228	93742	3446685	36.72
1960-1969	39	0.00267	0.00267	0.5	93628	250	93503	3352944	35.81
1960-1969	40	0.00288	0.00287	0.5	93378	268	93244	3259440	34.91
1960-1969	41	0.00306	0.00306	0.5	93110	285	92968	3166196	34.00
1960-1969	42	0.00348	0.00348	0.5	92825	323	92664	3073229	33.11
1960-1969	43	0.00380	0.00380	0.5	92502	351	92327	2980565	32.22
1960-1969	44	0.00418	0.00418	0.5	92151	385	91959	2888238	31.34
1960-1969	45	0.00453	0.00452	0.5	91766	415	91559	2796280	30.47
1960-1969	46	0.00492	0.00491	0.5	91351	448	91127	2704721	29.61
1960-1969	47	0.00545	0.00544	0.5	90903	494	90656	2613594	28.75
1960-1969	48	0.00593	0.00591	0.5	90409	535	90141	2522938	27.91
1960-1969	49	0.00655	0.00653	0.5	89874	587	89580	2432797	27.07
1960-1969	50	0.00714	0.00712	0.5	89287	635	88969	2343216	26.24
1960-1969	51	0.00784	0.00781	0.5	88651	693	88305	2254247	25.43
1960-1969	52	0.00852	0.00848	0.5	87959	746	87586	2165942	24.62
1960-1969	53	0.00938	0.00933	0.5	87213	814	86806	2078356	23.83
1960-1969	54	0.01016	0.01011	0.5	86399	873	85962	1991550	23.05
1960-1969	55	0.01092	0.01086	0.5	85526	929	85061	1905588	22.28
1960-1969	56	0.01194	0.01187	0.5	84596	1004	84095	1820527	21.52
1960-1969	57	0.01293	0.01285	0.5	83593	1074	83056	1736433	20.77
1960-1969	58	0.01401	0.01392	0.5	82519	1148	81945	1653377	20.04
1960-1969	59	0.01509	0.01497	0.5	81371	1218	80761	1571432	19.31
1960-1969	60	0.01625	0.01612	0.5	80152	1292	79506	1490671	18.60
1960-1969	61	0.01747	0.01732	0.5	78860	1366	78177	1411165	17.89
1960-1969	62	0.01946	0.01927	0.5	77494	1493	76748	1332988	17.20
1960-1969	63	0.02058	0.02037	0.5	76001	1548	75227	1256240	16.53
